doc_id,metadata,vector_db_source
1,"{'Domain': 'Education and Academia', 'Topic': 'Remote Learning', 'Category': 'Digital Education', 'Published Date': '2023-09-22', 'Source': 'Education Insights', 'Author': 'Benjamin Turner', 'Tags': ['Remote Learning', 'Digital Tools'], 'Keywords': ['remote education', 'e-learning'], 'Language': 'English', 'Sentiment': 'Neutral'}",faiss
2,"{'Domain': 'Education and Academia', 'Topic': 'STEM Education', 'Category': 'Career Development', 'Published Date': '2023-10-01', 'Source': 'STEM Education Today', 'Author': 'Linda Gomez', 'Tags': ['STEM', 'Careers'], 'Keywords': ['STEM initiatives', 'technology education'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
3,"{'Domain': 'Education and Academia', 'Topic': 'Higher Education', 'Category': 'Enrollment', 'Published Date': '2023-09-27', 'Source': 'University Review', 'Author': 'Andrew Thompson', 'Tags': ['Higher Education', 'Enrollment'], 'Keywords': ['college enrollment', 'student priorities'], 'Language': 'English', 'Sentiment': 'Concerned'}",faiss
4,"{'Domain': 'Education and Academia', 'Topic': 'Inclusive Education', 'Category': 'Teaching Methods', 'Published Date': '2023-10-03', 'Source': 'Teaching Insights', 'Author': 'Linda Gomez', 'Tags': ['Inclusive Education', 'Diversity'], 'Keywords': ['inclusive teaching', 'diverse learning'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
5,"{'Domain': 'Education and Academia', 'Topic': 'EdTech', 'Category': 'Personalized Learning', 'Published Date': '2023-09-28', 'Source': 'EdTech Updates', 'Author': 'Benjamin Turner', 'Tags': ['Technology', 'Personalized Learning'], 'Keywords': ['edtech', 'learning outcomes'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
6,"{'Domain': 'Education and Academia', 'Topic': 'Student Health', 'Category': 'Wellbeing', 'Published Date': '2023-09-30', 'Source': 'Education Health Report', 'Author': 'Andrew Thompson', 'Tags': ['Mental Health', 'Education'], 'Keywords': ['student wellbeing', 'holistic approaches'], 'Language': 'English', 'Sentiment': 'Concerned'}",faiss
7,"{'Domain': 'Education and Academia', 'Topic': 'Adult Education', 'Category': 'Lifelong Learning', 'Published Date': '2023-10-04', 'Source': 'Adult Learning News', 'Author': 'Linda Gomez', 'Tags': ['Lifelong Learning', 'Career Skills'], 'Keywords': ['skills upgrading', 'job market'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
8,"{'Domain': 'Education and Academia', 'Topic': 'Gamification', 'Category': 'Student Engagement', 'Published Date': '2023-09-26', 'Source': 'Education Games Review', 'Author': 'Benjamin Turner', 'Tags': ['Gamification', 'Motivation'], 'Keywords': ['education games', 'student motivation'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
9,"{'Domain': 'Education and Academia', 'Topic': 'Education Policy', 'Category': 'Funding', 'Published Date': '2023-09-22', 'Source': 'Policy Education Review', 'Author': 'Andrew Thompson', 'Tags': ['Policy', 'Funding'], 'Keywords': ['education policy', 'school funding'], 'Language': 'English', 'Sentiment': 'Neutral'}",faiss
10,"{'Domain': 'Education and Academia', 'Topic': 'Digital Literacy', 'Category': 'Curriculum', 'Published Date': '2023-10-06', 'Source': 'Digital Education News', 'Author': 'Linda Gomez', 'Tags': ['Digital Literacy', 'Curriculum'], 'Keywords': ['digital skills', 'education programs'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
11,"{'Domain': 'Education and Academia', 'Topic': 'Online Education', 'Category': 'Accessibility', 'Published Date': '2023-09-29', 'Source': 'EdTech Access Journal', 'Author': 'Benjamin Turner', 'Tags': ['Online Learning', 'Access'], 'Keywords': ['education platforms', 'learning access'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
12,"{'Domain': 'Education and Academia', 'Topic': 'Bilingual Education', 'Category': 'Language Learning', 'Published Date': '2023-10-07', 'Source': 'Language Education Review', 'Author': 'Andrew Thompson', 'Tags': ['Bilingual', 'Cultural Appreciation'], 'Keywords': ['language skills', 'education'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
e31d4fe8-1c0f-499c-b33f-ae2ba4eb77e5,"{'Domain': 'Education and Academia', 'Topic': 'Remote Learning', 'Category': 'Digital Education', 'Published Date': '2023-09-22', 'Source': 'Education Insights', 'Author': 'Benjamin Turner', 'Tags': ['Remote Learning', 'Digital Tools'], 'Keywords': ['remote education', 'e-learning'], 'Language': 'English', 'Sentiment': 'Neutral'}",faiss
a3bf9d00-c075-4b72-9cc0-c46a4b48c5a6,"{'Domain': 'Education and Academia', 'Topic': 'STEM Education', 'Category': 'Career Development', 'Published Date': '2023-10-01', 'Source': 'STEM Education Today', 'Author': 'Linda Gomez', 'Tags': ['STEM', 'Careers'], 'Keywords': ['STEM initiatives', 'technology education'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
145e7ed6-6a75-494c-a2d7-381daa2d7c66,"{'Domain': 'Education and Academia', 'Topic': 'Higher Education', 'Category': 'Enrollment', 'Published Date': '2023-09-27', 'Source': 'University Review', 'Author': 'Andrew Thompson', 'Tags': ['Higher Education', 'Enrollment'], 'Keywords': ['college enrollment', 'student priorities'], 'Language': 'English', 'Sentiment': 'Concerned'}",faiss
7aa4a58c-eb0d-44b8-969b-181a1d24bb3c,"{'Domain': 'Education and Academia', 'Topic': 'Inclusive Education', 'Category': 'Teaching Methods', 'Published Date': '2023-10-03', 'Source': 'Teaching Insights', 'Author': 'Linda Gomez', 'Tags': ['Inclusive Education', 'Diversity'], 'Keywords': ['inclusive teaching', 'diverse learning'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
c879ffb5-eefb-4c38-b4de-bf5c60957e11,"{'Domain': 'Education and Academia', 'Topic': 'EdTech', 'Category': 'Personalized Learning', 'Published Date': '2023-09-28', 'Source': 'EdTech Updates', 'Author': 'Benjamin Turner', 'Tags': ['Technology', 'Personalized Learning'], 'Keywords': ['edtech', 'learning outcomes'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
7cf4e794-8251-47ac-b0ff-af8b26f4fee9,"{'Domain': 'Education and Academia', 'Topic': 'Student Health', 'Category': 'Wellbeing', 'Published Date': '2023-09-30', 'Source': 'Education Health Report', 'Author': 'Andrew Thompson', 'Tags': ['Mental Health', 'Education'], 'Keywords': ['student wellbeing', 'holistic approaches'], 'Language': 'English', 'Sentiment': 'Concerned'}",faiss
f586230f-bcfd-4133-b549-6d8f0d20b079,"{'Domain': 'Education and Academia', 'Topic': 'Adult Education', 'Category': 'Lifelong Learning', 'Published Date': '2023-10-04', 'Source': 'Adult Learning News', 'Author': 'Linda Gomez', 'Tags': ['Lifelong Learning', 'Career Skills'], 'Keywords': ['skills upgrading', 'job market'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
9b9c4301-0fd9-4f75-919b-d28c6950c837,"{'Domain': 'Education and Academia', 'Topic': 'Gamification', 'Category': 'Student Engagement', 'Published Date': '2023-09-26', 'Source': 'Education Games Review', 'Author': 'Benjamin Turner', 'Tags': ['Gamification', 'Motivation'], 'Keywords': ['education games', 'student motivation'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
3cefcf43-ca62-4b78-a460-bb69911d486d,"{'Domain': 'Education and Academia', 'Topic': 'Education Policy', 'Category': 'Funding', 'Published Date': '2023-09-22', 'Source': 'Policy Education Review', 'Author': 'Andrew Thompson', 'Tags': ['Policy', 'Funding'], 'Keywords': ['education policy', 'school funding'], 'Language': 'English', 'Sentiment': 'Neutral'}",faiss
f00632fc-322c-4f76-8fcd-c92b2d10fe2c,"{'Domain': 'Education and Academia', 'Topic': 'Digital Literacy', 'Category': 'Curriculum', 'Published Date': '2023-10-06', 'Source': 'Digital Education News', 'Author': 'Linda Gomez', 'Tags': ['Digital Literacy', 'Curriculum'], 'Keywords': ['digital skills', 'education programs'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
c448386c-e55e-45bc-96a4-0c0728f68758,"{'Domain': 'Education and Academia', 'Topic': 'Online Education', 'Category': 'Accessibility', 'Published Date': '2023-09-29', 'Source': 'EdTech Access Journal', 'Author': 'Benjamin Turner', 'Tags': ['Online Learning', 'Access'], 'Keywords': ['education platforms', 'learning access'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
7295b271-f2e1-4d62-a1ff-4cd2cf5a7086,"{'Domain': 'Education and Academia', 'Topic': 'Bilingual Education', 'Category': 'Language Learning', 'Published Date': '2023-10-07', 'Source': 'Language Education Review', 'Author': 'Andrew Thompson', 'Tags': ['Bilingual', 'Cultural Appreciation'], 'Keywords': ['language skills', 'education'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
2e2f5aa1-fde6-4366-9efb-932cd2ff10de,"{'Author': 'Mike Long', 'Category': 'Food Industry', 'Domain': 'Agriculture and Food Industry', 'Keywords': ['meat alternatives', 'dairy substitutes'], 'Language': 'English', 'Published Date': '2023-10-01', 'Sentiment': 'Optimistic', 'Source': 'Food Trend Review', 'Tags': ['Plant-Based', 'Food Innovation'], 'Topic': 'Plant-Based Foods', 'text': 'The rise of plant-based food products is transforming the traditional meat and dairy industries.'}",pinecone
54a952e0-8269-4193-a9e8-fae672aacb79,"{'Author': 'Mark Chen', 'Category': 'Technology', 'Domain': 'Agriculture and Food Industry', 'Keywords': ['precision farming, resource optimization'], 'Language': 'English', 'Published Date': '2023-09-29', 'Sentiment': 'Positive', 'Source': 'Tech in Ag Journal', 'Tags': ['Technology', 'Efficiency'], 'Topic': 'Precision Agriculture', 'text': 'Technological innovations in precision agriculture are optimizing resource use and boosting efficiency.'}",pinecone
556ca8c0-d01e-456e-a5f5-b30693bbd670,"{'Author': 'Olivia Wright', 'Category': 'Innovation', 'Domain': 'Agriculture and Food Industry', 'Keywords': ['drought resistance', 'agricultural innovation'], 'Language': 'English', 'Published Date': '2023-09-28', 'Sentiment': 'Positive', 'Source': 'Ag Science Digest', 'Tags': ['Crop Science', 'Climate'], 'Topic': 'Crop Science', 'text': 'Drought-resistant crop varieties are developed to sustain agricultural productivity amid climate challenges.'}",pinecone
59888a1d-4a0b-40ed-bb9d-368fe49b73d7,"{'Author': 'Mike Long', 'Category': 'Technology', 'Domain': 'Agriculture and Food Industry', 'Keywords': ['supply chain', 'efficiency'], 'Language': 'English', 'Published Date': '2023-09-22', 'Sentiment': 'Positive', 'Source': 'Logistics and Food', 'Tags': ['Food Logistics', 'AI'], 'Topic': 'Food Logistics', 'text': 'The global food logistics industry is leveraging AI to enhance supply chain efficiency and reduce waste.'}",pinecone
93101923-800f-46fa-bc49-858d86748c37,"{'Author': 'Olivia Wright', 'Category': 'Sustainability', 'Domain': 'Agriculture and Food Industry', 'Keywords': ['sustainable farming', 'crop yield'], 'Language': 'English', 'Published Date': '2023-10-03', 'Sentiment': 'Positive', 'Source': 'Agri News Today', 'Tags': ['Farming', 'Sustainability'], 'Topic': 'Farming', 'text': 'Local farmers adopt sustainable practices to improve crop yield and soil health for future generations.'}",pinecone
962327f6-710d-4dcb-a9a5-2d6a521374ea,"{'Author': 'Olivia Wright', 'Category': 'Community', 'Domain': 'Agriculture and Food Industry', 'Keywords': [""farmers' markets"", 'local produce'], 'Language': 'English', 'Published Date': '2023-09-27', 'Sentiment': 'Positive', 'Source': 'Local Food News', 'Tags': ['Local Foods', 'Community Markets'], 'Topic': 'Local Foods', 'text': ""Consumer interest in local foods is driving farmers' markets and community-supported agriculture.""}",pinecone
acc43193-4e74-47f5-88dc-55613ccc37e4,"{'Author': 'Samantha Price', 'Category': 'Health', 'Domain': 'Agriculture and Food Industry', 'Keywords': ['safety protocols', 'foodborne illnesses'], 'Language': 'English', 'Published Date': '2023-09-24', 'Sentiment': 'Concerned', 'Source': 'Food Safety Journal', 'Tags': ['Food Safety', 'Health'], 'Topic': 'Food Safety', 'text': 'Food safety protocols are becoming increasingly important in the prevention of foodborne illnesses.'}",pinecone
b6ef3478-0510-4c66-b095-625f87486141,"{'Author': 'Samantha Price', 'Category': 'Consumer Trends', 'Domain': 'Agriculture and Food Industry', 'Keywords': ['organic farming', 'food trends'], 'Language': 'English', 'Published Date': '2023-09-26', 'Sentiment': 'Positive', 'Source': 'Organic Farming Daily', 'Tags': ['Organic', 'Consumer Demand'], 'Topic': 'Organic Farming', 'text': 'Organic farming methods increase in popularity as consumer demand for organic food grows.'}",pinecone
db6a480b-111e-4057-a629-bc527ead3eb9,"{'Author': 'Samantha Price', 'Category': 'Urban Agriculture', 'Domain': 'Agriculture and Food Industry', 'Keywords': ['fresh food', 'urban farming'], 'Language': 'English', 'Published Date': '2023-09-25', 'Sentiment': 'Positive', 'Source': 'Urban Agri News', 'Tags': ['Vertical Farming', 'Urban Solutions'], 'Topic': 'Vertical Farming', 'text': 'Vertical farming techniques are providing fresh food solutions in urban environments worldwide.'}",pinecone
ec8b8436-0eab-4596-9da6-5b5996bc76c4,"{'Author': 'Mark Chen', 'Category': 'Ecology', 'Domain': 'Agriculture and Food Industry', 'Keywords': ['farming systems', 'ecological sustainability'], 'Language': 'English', 'Published Date': '2023-09-30', 'Sentiment': 'Positive', 'Source': 'Eco Farming Review', 'Tags': ['Agroecology', 'Biodiversity'], 'Topic': 'Agroecology', 'text': 'Agroecology practices are promoting biodiversity and ecological sustainability in farming systems.'}",pinecone
069533bf-bb2d-40bb-ac1a-18f85d48fb4e,"{'Domain': 'Automotive and Transportation', 'Topic': 'Freight', 'Category': 'Logistics', 'Published Date': '2023-10-03', 'Source': 'Freight News Today', 'Author': 'James Oliver', 'Tags': ['Freight Logistics', 'Global Transport'], 'Keywords': ['logistics technology', 'efficiency'], 'Language': 'English', 'Sentiment': 'Positive'}",qdrant
4dd30346-2a85-4a3d-8474-6acb653ba0ae,"{'Domain': 'Automotive and Transportation', 'Topic': 'Hybrid Vehicles', 'Category': 'Innovation', 'Published Date': '2023-09-28', 'Source': 'Hybrid Vehicle Times', 'Author': 'Tom Baker', 'Tags': ['Hybrid Cars', 'Efficiency'], 'Keywords': ['fuel efficiency', 'emissions reduction'], 'Language': 'English', 'Sentiment': 'Positive'}",qdrant
97bdf3fb-ad9c-49e7-9c29-bd307abb5e11,"{'Domain': 'Automotive and Transportation', 'Topic': 'Safety', 'Category': 'Technology', 'Published Date': '2023-10-01', 'Source': 'Tech in Autos Journal', 'Author': 'Tom Baker', 'Tags': ['Safety', 'AI'], 'Keywords': ['collision prevention', 'driver assistance'], 'Language': 'English', 'Sentiment': 'Positive'}",qdrant
9f054458-d371-43de-ad3c-f76bc78c6de8,"{'Domain': 'Automotive and Transportation', 'Topic': 'Electric Vehicles', 'Category': 'Market Trends', 'Published Date': '2023-09-29', 'Source': 'Automotive News', 'Author': 'James Oliver', 'Tags': ['EVs', 'Affordability'], 'Keywords': ['electric cars', 'range improvement'], 'Language': 'English', 'Sentiment': 'Positive'}",qdrant
af72adb4-f016-45e4-a861-0b851232526f,"{'Domain': 'Automotive and Transportation', 'Topic': 'Car Subscriptions', 'Category': 'Service Models', 'Published Date': '2023-09-27', 'Source': 'Auto Business Journal', 'Author': 'Natalie Green', 'Tags': ['Car Subscriptions', 'Service Innovations'], 'Keywords': ['flexible vehicle access', 'ownership alternatives'], 'Language': 'English', 'Sentiment': 'Positive'}",qdrant
b82973a5-6565-4e0e-b0a8-16be2fa6b7de,"{'Domain': 'Automotive and Transportation', 'Topic': 'Bike Sharing', 'Category': 'Sustainability', 'Published Date': '2023-09-25', 'Source': 'Cycle News Network', 'Author': 'Natalie Green', 'Tags': ['Bike Sharing', 'Urban Transport'], 'Keywords': ['sustainable transport', 'bike programs'], 'Language': 'English', 'Sentiment': 'Positive'}",qdrant
bfd711da-6d18-4196-a059-838642d40c29,"{'Domain': 'Automotive and Transportation', 'Topic': 'Autonomous Vehicles', 'Category': 'Regulations', 'Published Date': '2023-09-23', 'Source': 'Auto Regulations Daily', 'Author': 'James Oliver', 'Tags': ['Autonomous Vehicles', 'Regulations'], 'Keywords': ['autonomous cars', 'safety standards'], 'Language': 'English', 'Sentiment': 'Neutral'}",qdrant
e9875c76-2b64-4255-ac99-a0972deb41b7,"{'Domain': 'Automotive and Transportation', 'Topic': 'Shared Mobility', 'Category': 'Urban Transport', 'Published Date': '2023-09-22', 'Source': 'Shared Transport Digest', 'Author': 'Tom Baker', 'Tags': ['Autonomous Shuttles', 'Mobility'], 'Keywords': ['shared transport', 'autonomous vehicles'], 'Language': 'English', 'Sentiment': 'Positive'}",qdrant
f40fdd95-b9c4-4e90-9d39-dbfdc6c49ce5,"{'Domain': 'Automotive and Transportation', 'Topic': 'Public Transit', 'Category': 'Urban Planning', 'Published Date': '2023-09-30', 'Source': 'City Transit Report', 'Author': 'Natalie Green', 'Tags': ['Public Transit', 'Urban Air Quality'], 'Keywords': ['congestion reduction', 'urban transit'], 'Language': 'English', 'Sentiment': 'Positive'}",qdrant
f546b081-16f6-4af9-8b78-c8759b173ae7,"{'Domain': 'Automotive and Transportation', 'Topic': 'Hydrogen Technology', 'Category': 'Clean Energy', 'Published Date': '2023-10-02', 'Source': 'Fuel Cell News', 'Author': 'James Oliver', 'Tags': ['Hydrogen', 'Clean Energy'], 'Keywords': ['hydrogen fuel', 'long-distance transport'], 'Language': 'English', 'Sentiment': 'Positive'}",qdrant
b27c21b3-706f-44c2-9993-244ee5b78046,"{'Author': 'Laura Chang', 'Category': 'Global Warming', 'Domain': 'Environment and Sustainability', 'Keywords': 'temperature rise, climate report', 'Language': 'English', 'Published Date': '2023-10-03', 'Sentiment': 'Concerned', 'Source': 'Climate News Network', 'Tags': 'Climate Change, Global Warming', 'Topic': 'Climate Change'}",chroma
4b0ebbdc-7f41-4d54-a3f2-72eb1d159ca3,"{'Author': 'David Smith', 'Category': 'Practices', 'Domain': 'Environment and Sustainability', 'Keywords': 'sustainable farming, environmental impact', 'Language': 'English', 'Published Date': '2023-10-01', 'Sentiment': 'Positive', 'Source': 'Eco Farming Journal', 'Tags': 'Agriculture, Sustainability', 'Topic': 'Sustainable Agriculture'}",chroma
cafc73f7-dc1d-4c58-be7e-bd972cef3ef5,"{'Author': 'Emily Reynolds', 'Category': 'Innovation', 'Domain': 'Environment and Sustainability', 'Keywords': 'renewable energy, fossil fuels', 'Language': 'English', 'Published Date': '2023-09-30', 'Sentiment': 'Optimistic', 'Source': 'Green Tech Digest', 'Tags': 'Renewables, Innovation', 'Topic': 'Renewable Energy'}",chroma
5a82364d-f737-43f9-a9e8-02c4c3e95136,"{'Author': 'Laura Chang', 'Category': 'Biodiversity Loss', 'Domain': 'Environment and Sustainability', 'Keywords': 'ocean pollution, biodiversity', 'Language': 'English', 'Published Date': '2023-09-27', 'Sentiment': 'Alarmed', 'Source': 'Marine Environment News', 'Tags': 'Pollution, Marine Biodiversity', 'Topic': 'Marine Pollution'}",chroma
bbb84e4d-8ede-422e-b736-4d5b55e626ff,"{'Author': 'David Smith', 'Category': 'Community Initiatives', 'Domain': 'Environment and Sustainability', 'Keywords': 'community recycling, waste reduction', 'Language': 'English', 'Published Date': '2023-10-04', 'Sentiment': 'Positive', 'Source': 'Eco Community Journal', 'Tags': 'Recycling, Waste Management', 'Topic': 'Recycling'}",chroma
cdbf2679-aaee-4d97-b62d-d5c48b07e609,"{'Author': 'Emily Reynolds', 'Category': 'Conservation', 'Domain': 'Environment and Sustainability', 'Keywords': 'deforestation, reforestation', 'Language': 'English', 'Published Date': '2023-09-25', 'Sentiment': 'Positive', 'Source': 'Conservation News', 'Tags': 'Deforestation, Conservation', 'Topic': 'Deforestation'}",chroma
af112054-e703-4216-a2c5-e03ddc6ab5aa,"{'Author': 'Laura Chang', 'Category': 'Transportation', 'Domain': 'Environment and Sustainability', 'Keywords': 'electric vehicles, transport emissions', 'Language': 'English', 'Published Date': '2023-09-28', 'Sentiment': 'Optimistic', 'Source': 'Eco Transport Review', 'Tags': 'EVs, Emissions Reduction', 'Topic': 'Electric Vehicles'}",chroma
a5755981-f55f-4edd-a29c-37826bc8bbd5,"{'Author': 'David Smith', 'Category': 'Resource Management', 'Domain': 'Environment and Sustainability', 'Keywords': 'water conservation, scarcity solutions', 'Language': 'English', 'Published Date': '2023-09-21', 'Sentiment': 'Positive', 'Source': 'Water Management News', 'Tags': 'Water Conservation, Scarcity', 'Topic': 'Water Conservation'}",chroma
16d72689-b3f9-4219-9fa6-885e4e04183d,"{'Author': 'Emily Reynolds', 'Category': 'Travel', 'Domain': 'Environment and Sustainability', 'Keywords': 'sustainable travel, local economy', 'Language': 'English', 'Published Date': '2023-10-05', 'Sentiment': 'Positive', 'Source': 'Green Travel Review', 'Tags': 'Eco-tourism, Sustainability', 'Topic': 'Eco-tourism'}",chroma
459cdcbb-23c2-4490-af5a-bc5b4bba9dc7,"{'Author': 'Laura Chang', 'Category': 'Green Infrastructure', 'Domain': 'Environment and Sustainability', 'Keywords': 'green infrastructure, urban resilience', 'Language': 'English', 'Published Date': '2023-09-24', 'Sentiment': 'Positive', 'Source': 'Urban Green News', 'Tags': 'Urban Development, Quality of Life', 'Topic': 'Urban Development'}",chroma
309f0a88-863e-41c7-b382-645a250d504a,"{'Author': 'David Smith', 'Category': 'Waste Management', 'Domain': 'Environment and Sustainability', 'Keywords': 'plastic reduction, consumer strategies', 'Language': 'English', 'Published Date': '2023-10-06', 'Sentiment': 'Optimistic', 'Source': 'Sustainable Living Digest', 'Tags': 'Plastic, Waste Management', 'Topic': 'Plastic Reduction'}",chroma
